0: Gate(gate_type='phase', qubits=(1,), theta=np.float64(-1.5707963267948966), beta=0.0)
1: Gate(gate_type='xx_plus_yy', qubits=(2, 1), theta=np.float64(1.5707963267948966), beta=0.0)
2: Gate(gate_type='phase', qubits=(1,), theta=np.float64(1.5707963267948966), beta=0.0)
3: Gate(gate_type='phase', qubits=(9,), theta=np.float64(-1.5707963267948966), beta=0.0)
4: Gate(gate_type='xx_plus_yy', qubits=(10, 9), theta=np.float64(1.5707963267948966), beta=0.0)
5: Gate(gate_type='phase', qubits=(9,), theta=np.float64(1.5707963267948966), beta=0.0)
6: Gate(gate_type='phase', qubits=(0,), theta=np.float64(-1.5707963267948966), beta=0.0)
7: Gate(gate_type='xx_plus_yy', qubits=(1, 0), theta=np.float64(0.17806698357934772), beta=0.0)
8: Gate(gate_type='phase', qubits=(0,), theta=np.float64(1.5707963267948966), beta=0.0)
9: Gate(gate_type='phase', qubits=(8,), theta=np.float64(-1.5707963267948966), beta=0.0)
10: Gate(gate_type='xx_plus_yy', qubits=(9, 8), theta=np.float64(0.17806698357934772), beta=0.0)
11: Gate(gate_type='phase', qubits=(8,), theta=np.float64(1.5707963267948966), beta=0.0)
12: Gate(gate_type='phase', qubits=(3,), theta=np.float64(-3.926990816987242), beta=0.0)
13: Gate(gate_type='xx_plus_yy', qubits=(4, 3), theta=np.float64(0.7853985856262865), beta=0.0)
14: Gate(gate_type='phase', qubits=(3,), theta=np.float64(3.926990816987242), beta=0.0)
15: Gate(gate_type='phase', qubits=(11,), theta=np.float64(-3.926990816987242), beta=0.0)
16: Gate(gate_type='xx_plus_yy', qubits=(12, 11), theta=np.float64(0.7853985856262865), beta=0.0)
17: Gate(gate_type='phase', qubits=(11,), theta=np.float64(3.926990816987242), beta=0.0)
18: Gate(gate_type='phase', qubits=(2,), theta=np.float64(-4.712388980384684), beta=0.0)
19: Gate(gate_type='xx_plus_yy', qubits=(3, 2), theta=np.float64(1.5698773832703297), beta=0.0)
20: Gate(gate_type='phase', qubits=(2,), theta=np.float64(4.712388980384684), beta=0.0)
21: Gate(gate_type='phase', qubits=(10,), theta=np.float64(-4.712388980384684), beta=0.0)
22: Gate(gate_type='xx_plus_yy', qubits=(11, 10), theta=np.float64(1.5698773832703297), beta=0.0)
23: Gate(gate_type='phase', qubits=(10,), theta=np.float64(4.712388980384684), beta=0.0)
24: Gate(gate_type='phase', qubits=(1,), theta=np.float64(-1.5707963267948966), beta=0.0)
25: Gate(gate_type='xx_plus_yy', qubits=(2, 1), theta=np.float64(1.5707963267948966), beta=0.0)
26: Gate(gate_type='phase', qubits=(1,), theta=np.float64(1.5707963267948966), beta=0.0)
27: Gate(gate_type='phase', qubits=(9,), theta=np.float64(-1.5707963267948966), beta=0.0)
28: Gate(gate_type='xx_plus_yy', qubits=(10, 9), theta=np.float64(1.5707963267948966), beta=0.0)
29: Gate(gate_type='phase', qubits=(9,), theta=np.float64(1.5707963267948966), beta=0.0)
30: Gate(gate_type='phase', qubits=(0,), theta=np.float64(-1.5707963267948966), beta=0.0)
31: Gate(gate_type='xx_plus_yy', qubits=(1, 0), theta=np.float64(1.5707963267948966), beta=0.0)
32: Gate(gate_type='phase', qubits=(0,), theta=np.float64(1.5707963267948966), beta=0.0)
33: Gate(gate_type='phase', qubits=(8,), theta=np.float64(-1.5707963267948966), beta=0.0)
34: Gate(gate_type='xx_plus_yy', qubits=(9, 8), theta=np.float64(1.5707963267948966), beta=0.0)
35: Gate(gate_type='phase', qubits=(8,), theta=np.float64(1.5707963267948966), beta=0.0)
36: Gate(gate_type='phase', qubits=(5,), theta=np.float64(-1.5707963267948966), beta=0.0)
37: Gate(gate_type='xx_plus_yy', qubits=(6, 5), theta=np.float64(1.5707963267948966), beta=0.0)
38: Gate(gate_type='phase', qubits=(5,), theta=np.float64(1.5707963267948966), beta=0.0)
39: Gate(gate_type='phase', qubits=(13,), theta=np.float64(-1.5707963267948966), beta=0.0)
40: Gate(gate_type='xx_plus_yy', qubits=(14, 13), theta=np.float64(1.5707963267948966), beta=0.0)
41: Gate(gate_type='phase', qubits=(13,), theta=np.float64(1.5707963267948966), beta=0.0)
42: Gate(gate_type='phase', qubits=(4,), theta=np.float64(-1.570796326794883), beta=0.0)
43: Gate(gate_type='xx_plus_yy', qubits=(5, 4), theta=np.float64(1.5698773832703299), beta=0.0)
44: Gate(gate_type='phase', qubits=(4,), theta=np.float64(1.570796326794883), beta=0.0)
45: Gate(gate_type='phase', qubits=(12,), theta=np.float64(-1.570796326794883), beta=0.0)
46: Gate(gate_type='xx_plus_yy', qubits=(13, 12), theta=np.float64(1.5698773832703299), beta=0.0)
47: Gate(gate_type='phase', qubits=(12,), theta=np.float64(1.570796326794883), beta=0.0)
48: Gate(gate_type='phase', qubits=(3,), theta=np.float64(-0.7853981633974672), beta=0.0)
49: Gate(gate_type='xx_plus_yy', qubits=(4, 3), theta=np.float64(0.7853985856262863), beta=0.0)
50: Gate(gate_type='phase', qubits=(3,), theta=np.float64(0.7853981633974672), beta=0.0)
51: Gate(gate_type='phase', qubits=(11,), theta=np.float64(-0.7853981633974672), beta=0.0)
52: Gate(gate_type='xx_plus_yy', qubits=(12, 11), theta=np.float64(0.7853985856262863), beta=0.0)
53: Gate(gate_type='phase', qubits=(11,), theta=np.float64(0.7853981633974672), beta=0.0)
54: Gate(gate_type='phase', qubits=(2,), theta=np.float64(-1.5707963267948966), beta=0.0)
