Op 1 / 6340, max bond = 1, latency =    0.03761
Op 2 / 6340, max bond = 1, latency =    0.00825
Op 3 / 6340, max bond = 1, latency =    0.01982
Op 4 / 6340, max bond = 1, latency =    0.00804
Op 5 / 6340, max bond = 1, latency =    0.00794
Op 6 / 6340, max bond = 1, latency =    0.00933
Op 7 / 6340, max bond = 1, latency =    0.00885
Op 8 / 6340, max bond = 1, latency =    0.00874
Op 9 / 6340, max bond = 1, latency =    0.00813
Op 10 / 6340, max bond = 1, latency =    0.00791
Op 11 / 6340, max bond = 1, latency =    0.00896
Op 12 / 6340, max bond = 1, latency =    0.00884
Op 13 / 6340, max bond = 1, latency =    0.00874
Op 14 / 6340, max bond = 1, latency =    0.00877
Op 15 / 6340, max bond = 1, latency =    0.00871
Op 16 / 6340, max bond = 1, latency =    0.00799
Op 17 / 6340, max bond = 1, latency =    0.00793
Op 18 / 6340, max bond = 1, latency =    0.00891
Op 19 / 6340, max bond = 1, latency =    0.00882
Op 20 / 6340, max bond = 1, latency =    0.00892
Op 21 / 6340, max bond = 1, latency =    0.00882
Op 22 / 6340, max bond = 1, latency =    0.00884
Op 23 / 6340, max bond = 1, latency =    0.00878
Op 24 / 6340, max bond = 1, latency =    0.00880
Op 25 / 6340, max bond = 1, latency =    0.00815
Op 26 / 6340, max bond = 1, latency =    0.00802
Op 27 / 6340, max bond = 1, latency =    0.00886
Op 28 / 6340, max bond = 1, latency =    0.00890
Op 29 / 6340, max bond = 1, latency =    0.00890
Op 30 / 6340, max bond = 1, latency =    0.00890
Op 31 / 6340, max bond = 1, latency =    0.00881
Op 32 / 6340, max bond = 1, latency =    0.00893
Op 33 / 6340, max bond = 1, latency =    0.00893
Op 34 / 6340, max bond = 1, latency =    0.00882
Op 35 / 6340, max bond = 1, latency =    0.00878
Op 36 / 6340, max bond = 1, latency =    0.00815
Op 37 / 6340, max bond = 1, latency =    0.00798
Op 38 / 6340, max bond = 1, latency =    0.00881
Op 39 / 6340, max bond = 1, latency =    0.00883
Op 40 / 6340, max bond = 1, latency =    0.00883
Op 41 / 6340, max bond = 1, latency =    0.00889
Op 42 / 6340, max bond = 1, latency =    0.00890
Op 43 / 6340, max bond = 1, latency =    0.00883
Op 44 / 6340, max bond = 1, latency =    0.00886
Op 45 / 6340, max bond = 1, latency =    0.00886
Op 46 / 6340, max bond = 1, latency =    0.00882
Op 47 / 6340, max bond = 1, latency =    0.00881
Op 48 / 6340, max bond = 1, latency =    0.00882
Op 49 / 6340, max bond = 1, latency =    0.00807
Op 50 / 6340, max bond = 1, latency =    0.00810
Op 51 / 6340, max bond = 1, latency =    0.00893
Op 52 / 6340, max bond = 1, latency =    0.00895
Op 53 / 6340, max bond = 1, latency =    0.00894
Op 54 / 6340, max bond = 1, latency =    0.00895
Op 55 / 6340, max bond = 1, latency =    0.00896
Op 56 / 6340, max bond = 1, latency =    0.00889
Op 57 / 6340, max bond = 1, latency =    0.00882
Op 58 / 6340, max bond = 1, latency =    0.00892
Op 59 / 6340, max bond = 1, latency =    0.00886
Op 60 / 6340, max bond = 1, latency =    0.00883
Op 61 / 6340, max bond = 1, latency =    0.00882
Op 62 / 6340, max bond = 1, latency =    0.00877
Op 63 / 6340, max bond = 1, latency =    0.00875
Op 64 / 6340, max bond = 1, latency =    0.00808
Op 65 / 6340, max bond = 1, latency =    0.00795
Op 66 / 6340, max bond = 1, latency =    0.00892
Op 67 / 6340, max bond = 1, latency =    0.00889
Op 68 / 6340, max bond = 1, latency =    0.00879
Op 69 / 6340, max bond = 1, latency =    0.00881
Op 70 / 6340, max bond = 1, latency =    0.00884
Op 71 / 6340, max bond = 1, latency =    0.00880
Op 72 / 6340, max bond = 1, latency =    0.00892
Op 73 / 6340, max bond = 1, latency =    0.00878
Op 74 / 6340, max bond = 1, latency =    0.00879
Op 75 / 6340, max bond = 1, latency =    0.00879
Op 76 / 6340, max bond = 1, latency =    0.00882
Op 77 / 6340, max bond = 1, latency =    0.00972
Op 78 / 6340, max bond = 1, latency =    0.00873
Op 79 / 6340, max bond = 1, latency =    0.00876
Op 80 / 6340, max bond = 1, latency =    0.00879
Op 81 / 6340, max bond = 1, latency =    0.00805
Op 82 / 6340, max bond = 1, latency =    0.00797
Op 83 / 6340, max bond = 1, latency =    0.00882
Op 84 / 6340, max bond = 1, latency =    0.00885
Op 85 / 6340, max bond = 1, latency =    0.00878
Op 86 / 6340, max bond = 1, latency =    0.00887
Op 87 / 6340, max bond = 1, latency =    0.00881
Op 88 / 6340, max bond = 1, latency =    0.00891
Op 89 / 6340, max bond = 1, latency =    0.00880
Op 90 / 6340, max bond = 1, latency =    0.00875
Op 91 / 6340, max bond = 1, latency =    0.00872
Op 92 / 6340, max bond = 1, latency =    0.00881
Op 93 / 6340, max bond = 1, latency =    0.00886
Op 94 / 6340, max bond = 1, latency =    0.00883
Op 95 / 6340, max bond = 1, latency =    0.00870
Op 96 / 6340, max bond = 1, latency =    0.00877
Op 97 / 6340, max bond = 1, latency =    0.00880
Op 98 / 6340, max bond = 1, latency =    0.00881
Op 99 / 6340, max bond = 1, latency =    0.00880
Op 100 / 6340, max bond = 1, latency =    0.00802
Op 101 / 6340, max bond = 1, latency =    0.00798
Op 102 / 6340, max bond = 1, latency =    0.00887
Op 103 / 6340, max bond = 1, latency =    0.00886
Op 104 / 6340, max bond = 1, latency =    0.00886
Op 105 / 6340, max bond = 1, latency =    0.00887
Op 106 / 6340, max bond = 1, latency =    0.00888
