Op 1 / 16196, max bond = 1
Op 2 / 16196, max bond = 1
Op 3 / 16196, max bond = 1
Op 4 / 16196, max bond = 1
Op 5 / 16196, max bond = 1
Op 6 / 16196, max bond = 1
Op 7 / 16196, max bond = 1
Op 8 / 16196, max bond = 1
Op 9 / 16196, max bond = 1
Op 10 / 16196, max bond = 1
Op 11 / 16196, max bond = 1
Op 12 / 16196, max bond = 1
Op 13 / 16196, max bond = 1
Op 14 / 16196, max bond = 1
Op 15 / 16196, max bond = 1
Op 16 / 16196, max bond = 1
Op 17 / 16196, max bond = 1
Op 18 / 16196, max bond = 1
Op 19 / 16196, max bond = 1
Op 20 / 16196, max bond = 1
Op 21 / 16196, max bond = 1
Op 22 / 16196, max bond = 1
Op 23 / 16196, max bond = 1
Op 24 / 16196, max bond = 1
Op 25 / 16196, max bond = 1
Op 26 / 16196, max bond = 1
Op 27 / 16196, max bond = 1
Op 28 / 16196, max bond = 1
Op 29 / 16196, max bond = 1
Op 30 / 16196, max bond = 1
Op 31 / 16196, max bond = 1
Op 32 / 16196, max bond = 1
Op 33 / 16196, max bond = 2
Op 34 / 16196, max bond = 2
Op 35 / 16196, max bond = 2
Op 36 / 16196, max bond = 2
Op 37 / 16196, max bond = 2
Op 38 / 16196, max bond = 2
Op 39 / 16196, max bond = 2
Op 40 / 16196, max bond = 2
Op 41 / 16196, max bond = 2
Op 42 / 16196, max bond = 2
Op 43 / 16196, max bond = 2
Op 44 / 16196, max bond = 2
Op 45 / 16196, max bond = 2
Op 46 / 16196, max bond = 2
Op 47 / 16196, max bond = 2
Op 48 / 16196, max bond = 2
Op 49 / 16196, max bond = 2
Op 50 / 16196, max bond = 2
Op 51 / 16196, max bond = 2
Op 52 / 16196, max bond = 2
Op 53 / 16196, max bond = 2
Op 54 / 16196, max bond = 2
Op 55 / 16196, max bond = 2
Op 56 / 16196, max bond = 2
Op 57 / 16196, max bond = 2
Op 58 / 16196, max bond = 2
Op 59 / 16196, max bond = 2
Op 60 / 16196, max bond = 2
Op 61 / 16196, max bond = 2
Op 62 / 16196, max bond = 2
Op 63 / 16196, max bond = 2
Op 64 / 16196, max bond = 2
Op 65 / 16196, max bond = 2
Op 66 / 16196, max bond = 2
Op 67 / 16196, max bond = 2
Op 68 / 16196, max bond = 4
Op 69 / 16196, max bond = 4
Op 70 / 16196, max bond = 4
Op 71 / 16196, max bond = 4
Op 72 / 16196, max bond = 4
Op 73 / 16196, max bond = 4
Op 74 / 16196, max bond = 4
Op 75 / 16196, max bond = 4
Op 76 / 16196, max bond = 4
Op 77 / 16196, max bond = 4
Op 78 / 16196, max bond = 4
Op 79 / 16196, max bond = 4
Op 80 / 16196, max bond = 4
Op 81 / 16196, max bond = 4
Op 82 / 16196, max bond = 4
Op 83 / 16196, max bond = 4
Op 84 / 16196, max bond = 4
